date,loan_id,borrower,officer,channel,outcome_notes,promise_date
2026-08-14,KM-L-0042,Tshepo Pule,Lorato,Call,PTP 20/8,
2026-09-01,KM-L-0058,Kgomotso Oagile,Olebile M,Call,Customer says already paid,
2026-09-03,KM-L-0061,Sethunya Modise,lorato,Call,Will come to branch,
2026-09-03,KM-L-0097,Amantle Nkwe,Bame,Branch visit,no ans,
2026-09-03,KM-L-0046,Keitumetse Nthebolang,Olebile M,SMS,Due date reminder,
2026-09-04,KM-L-0092,Kgomotso Dikgang,Tshiamo,WhatsApp,reminder sent,
2026-09-06,KM-L-0044,Lesego Kgathi,B Mokone,Call,Voicemail,
2026-09-08,KM-L-0124,Kgomotso Kgathi,Bame M,Call,no ans,
2026-09-08,KM-L-0043,Keitumetse Segokgo,M. Sebina,SMS,reminder sent,
2026-09-08,KM-L-0085,Onalenna Setlhare,O. Moatlhodi,SMS,Sent reminder,
2026-09-10,KM-L-0061,Sethunya Modise,L. Keakile,Call,Says salary delayed,
2026-09-11,KM-L-0045,Naledi Segokgo,Tshiamo,Branch visit,Sent reminder,
2026-09-11,KM-L-0127,Mmaserame Tlhalefang,Olebile,WhatsApp,reminder sent,
2026-09-12,KM-L-0045,Naledi Segokgo,Tshiamo,WhatsApp,Voicemail,
2026-09-12,KM-L-0141,Lorato Mbaakanyi,Olebile,WhatsApp,Voicemail,
2026-09-12,KM-L-0005,Tebogo Rakgomo,Olebile,SMS,Sent reminder,
2026-09-13,KM-L-0125,Kitso Maruping,Mmoloki S,Call,"Spoke to customer, promised to pay 20/9",
2026-09-14,KM-L-0032,Naledi Sechele,O. Moatlhodi,Call,will pay friday,
2026-09-15,KM-L-0032,Naledi Sechele,Olebile M,Branch visit,Will come to branch,
2026-09-16,KM-L-0016,Keabetswe Nkwe,Olebile M,Call,Reminder sent via WA,
2026-09-16,KM-L-0066,Boipelo Mabote,T Ntsima,SMS,Sent reminder,
2026-09-16,KM-L-0042,Tshepo Pule,lorato,Branch visit,"Business slow, will pay end of month",
2026-09-17,KM-L-0044,Lesego Kgathi,Bame,Call,Voicemail,
2026-09-17,KM-L-0045,Naledi Segokgo,Tshiamo N.,Call,Line busy,
2026-09-17,KM-L-0035,Tlotlo Dikgang,O. Moatlhodi,WhatsApp,Due date reminder,
