txn_ref,received_at,channel,payer_phone,payer_name,payment_reference,amount
OM55027374,2026-10-01 16:18,Orange Money,0026777217151,Tau K,KM-L-0069,"7,572.86"
OM35549556,2026-10-01 17:01,Orange Money,072087135,Rakgomo O,KM-L-0065,"2,266.67"
OM60328058,2026-10-01 20:22,Orange Money,26771293629,Goabaone Mabote,loan 144,"P 1,980.00"
OM59448527,2026-10-02 07:03,Orange Money,0026775814939,SETHUNYA MODISE,loan 61,"2,090.00"
MZ61629306,2026-10-02 08:50,MyZaka,76319403,TEBOGO KOOSIMILE,,"1,550.00"
MZ57846384,2026-10-02 10:10,MyZaka,72859218,Mbaakanyi L,KML0141,480.00
MZ57846384,2026-10-02 10:11,MyZaka,72859218,Mbaakanyi L,KML0141,480.00
EFT95725860,02/10/2026,Bank transfer,,O SEBEGO,KML 0078 school fees,"1,197.00"
OM19212958,2026-10-02 13:03,Orange Money,0026776476527,Nthebolang M,,"1,880.00"
OM19212958,2026-10-02 13:05,Orange Money,0026776476527,Nthebolang M,,"1,880.00"
SM93463921,2026-10-02 14:04,Smega,074323984,KEITUMETSE M,KM-L-106,"P 8,701.28"
OM19649728,2026-10-03 14:00,Orange Money,71 216 301,KEABETSWE NKWE,km-l-0016,P 563.75
OM62031153,2026-10-03 14:25,Orange Money,+267 74 847 859,NEO BAITSHEPI,KM-L-82,867.27
SM45313797,2026-10-03 17:35,Smega,73529147,OBAKENG GAETSEWE,KM-L-76,"2,947.00"
MZ50008688,2026-10-04 08:20,MyZaka,73070237,N BAITSHEPI,,"P 3,588.89"
EFT59133994,04/10/2026,Bank transfer,,Rakgomo R,KM-L-41,"1,030.00"
EFT27808030,04/10/2026,Bank transfer,,Kealeboga Ntshole,KML 0024,"2,800.00"
MZ37879677,2026-10-04 12:44,MyZaka,0026777751095,LORATO M,KML 0040,823.33
OM21741358,2026-10-04 13:16,Orange Money,0026771736523,LESEGO KGATHI,KM-L-0044,"P 1,300.00"
OM89254734,2026-10-04 15:12,Orange Money,72 682 137,TUMELO SELEKA,KM-L-62,"4,887.16"
OM97489154,2026-10-04 15:19,Orange Money,73660860,T OAGILE,,"2,135.00"
OM29593180,2026-10-04 16:13,Orange Money,74840199,GAONE OAGILE,,"2,250.00"
MZ85449835,2026-10-04 18:20,MyZaka,77 267 611,GOITSEONE M,KM-L-94,"6,393.75"
MZ85449835,2026-10-04 18:27,MyZaka,77 267 611,GOITSEONE M,KM-L-94,"6,393.75"
OM72522105,2026-10-05 07:35,Orange Money,26776119224,Pako Mooketsi,,"P 2,730.00"
OM88967346,2026-10-05 09:31,Orange Money,0026772339424,P MOGAPI,,P 337.50
EFT37908131,05/10/2026,Bank transfer,,Sechele K,,"5,122.32"
MZ14618971,2026-10-05 14:27,MyZaka,0026775404796,KAGISO M,km-l-0095,"P 1,740.00"
OM70019622,2026-10-05 16:13,Orange Money,76995064,PAKO GABAAKE,,"1,000.00"
OM70019622,2026-10-05 16:17,Orange Money,76995064,PAKO GABAAKE,,"1,000.00"
OM27433184,2026-10-05 16:41,Orange Money,72318846,TEBOGO K,,990.00
MZ47889303,2026-10-05 20:36,MyZaka,+267 74 325 850,Morake K,KML 0148,"2,137.50"
